package,activity,widget_id,widget_type,widget_text,flaw_type,info
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece00,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece10,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece20,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece30,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece01,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece02,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece11,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece12,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece21,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece22,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece31,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece32,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece03,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece13,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece23,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/piece33,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,GameActivity,:id/player_on_turn,android.widget.TextView,Player:1,ACCESSIBILITY_CONTRAST_FLAW,1.6379206614602306
eu.veldsoft.ithaka.board.game,MenuActivity,:id/exit_game,android.widget.Button,Exit,ACCESSIBILITY_CONTRAST_FLAW,1.3916591085580434
eu.veldsoft.ithaka.board.game,SplashActivity,android:id/content,android.view.View,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,SplashActivity,android.view.View-,android.view.View,,ACCESSIBILITY_CONTRAST_FLAW,3.629073213242605
eu.veldsoft.ithaka.board.game,AboutActivity,android:id/content,android.widget.EditText,vexilla,ACCESSIBILITY_SIZE_FLAW,411,38
eu.veldsoft.ithaka.board.game,HelpActivity,android:id/content,android.widget.EditText,GUIDE,ACCESSIBILITY_SIZE_FLAW,411,38
eu.veldsoft.ithaka.board.game,MenuActivity,android:id/content,android.view.View,,MISSING_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,com.android.browserBrowserActivity,com.android.browser:id/iconcombo,android.widget.FrameLayout,,ACCESSIBILITY_SIZE_FLAW,44,52
eu.veldsoft.ithaka.board.game,com.android.browserBrowserActivity,com.android.browser:id/url,android.widget.EditText,adserver.veldsoft.eu/www/delivery/ck.php?oaparams=2__bannerid=18__zoneid=19__cb=dca84753e7__oadest=http%3A%2F%2Fwww.glasnaroden.bg%2F,ACCESSIBILITY_CONTRAST_FLAW,1.0
eu.veldsoft.ithaka.board.game,com.android.browserBrowserActivity,com.android.browser:id/url,android.widget.EditText,adserver.veldsoft.eu/www/delivery/ck.php?oaparams=2__bannerid=18__zoneid=19__cb=dca84753e7__oadest=http%3A%2F%2Fwww.glasnaroden.bg%2F,DUPLICATE_SPEAKABLE_TEXT_FLAW,
eu.veldsoft.ithaka.board.game,com.android.browserBrowserActivity,com.android.browser:id/tab_switcher,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,1.0
eu.veldsoft.ithaka.board.game,com.android.browserBrowserActivity,com.android.browser:id/more,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,1.0
